Area,Latitude,Longitude
Sushant Lok,28.4706634,77.0798127
Palam Vihar,28.50839055,77.03334738
DLF City,28.49788475,77.09638675
Gurgaon Sector 54,28.4463393,77.122314
Nirvana Country,28.41505085,77.06429551
South City,28.4597391,77.0612091
 Sohna Road,28.4270873,77.0373899
Golf Course Extension,28.3540907,77.00365423
MG Road,28.4770021,77.0664591
 Sector 49,28.4128851,77.0498362
 Gurgaon Sector 57,28.40898635,77.06242811
Ambience islands,28.5035,77.096
M3M Golfestate,28.4011219,77.0649227
DLF Golf links,28.45574655,77.10645342
Sector 82,28.3931076,76.9588762